City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
11,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
14,Policoro,IT,79.99,clear sky,40.2115,16.6726,Hotel Hermes
21,Benemerito De Las Americas,MX,92.53,overcast clouds,16.5167,-90.6439,Residencia Univeresitaria
23,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
25,Kismayo,SO,75.22,overcast clouds,-0.3582,42.5454,Agan-Hotel
26,Cockburn Town,TC,82.13,clear sky,21.4612,-71.1419,Osprey Beach Hotel
33,Cabra,ES,93.38,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
37,Peniche,PT,75.07,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
41,Bubaque,GW,76.37,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
45,Dauphin,CA,75.33,clear sky,51.1494,-100.0502,Canway Inn & Suites
49,Puerto Escondido,MX,88.0,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
52,Pincher Creek,CA,77.88,clear sky,49.4833,-113.952,BLUE MOUNTAIN MOTEL
56,Saint Anthony,US,87.93,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
60,Buraydah,SA,94.86,clear sky,26.326,43.975,Mövenpick Qassim
67,San Vicente,AR,77.97,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
70,Jamestown,US,87.94,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Hun,LY,87.8,clear sky,29.1268,15.9477,Alrwasi Hotel
76,Cabo San Lucas,MX,94.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
78,San Jose,US,87.91,clear sky,37.3394,-121.895,The Westin San Jose
82,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
84,Milledgeville,US,93.09,overcast clouds,33.0801,-83.2321,Hampton Inn Milledgeville
87,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
89,Shintomi,JP,78.89,overcast clouds,32.0785,131.4723,ホテルスイート
91,Victoria,HK,87.33,few clouds,22.2855,114.1577,Mini Central
93,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
95,Erzin,TR,77.83,clear sky,36.9559,36.2,Artemis Otel
101,Barcelos,PT,85.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
104,Tawau,MY,77.56,moderate rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
105,Benghazi,LY,78.4,clear sky,32.1167,20.0667,Tibesti Hotel
107,Minab,IR,90.14,overcast clouds,27.1467,57.0801,Bam campground
108,Butaritari,KI,81.25,broken clouds,3.0707,172.7902,Isles Sunset Lodge
113,Neiafu,TO,77.52,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
114,Faanui,PF,77.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Buala,SB,78.73,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
118,Pandharpur,IN,77.31,overcast clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
119,Wenling,CN,79.18,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
120,Pochutla,MX,92.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
121,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
122,Hithadhoo,MV,80.82,overcast clouds,-0.6,73.0833,Scoop Guest House
127,Angren,UZ,80.11,clear sky,41.0167,70.1436,Xusan Aka
128,Paka,MY,77.95,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
130,Tutoia,BR,83.37,scattered clouds,-2.7619,-42.2744,Pousada Guará's
132,Bengkulu,ID,76.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
133,Jalu,LY,84.09,clear sky,29.0331,21.5482,صاحبة الفخامة
138,Cedar Rapids,US,86.11,few clouds,42.0083,-91.6441,DoubleTree by Hilton Hotel Cedar Rapids Convention Complex
141,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
144,La Seyne-Sur-Mer,FR,88.92,clear sky,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
146,Naifaru,MV,80.76,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
150,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
163,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
168,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
169,Do Gonbadan,IR,90.12,clear sky,30.3586,50.7981,مسافرخانه شادی
170,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
171,Harper,LR,75.49,overcast clouds,4.375,-7.7169,Screensaver
175,Lompoc,US,91.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
