City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kendari,ID,-3.945,122.4989,74.61,94,39,0.38,scattered clouds
1,Mahebourg,MU,-20.4081,57.7,71.26,72,89,21.43,light rain
2,Khatanga,RU,71.9667,102.5,46.54,62,100,21.65,overcast clouds
3,Kungurtug,RU,50.5994,97.5228,47.57,78,100,0.72,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,35.11,64,100,25.72,overcast clouds
5,Hilo,US,19.7297,-155.09,80.28,87,64,3.0,broken clouds
6,Cape Town,ZA,-33.9258,18.4232,53.11,67,0,5.75,clear sky
7,Hasaki,JP,35.7333,140.8333,75.6,83,100,8.14,overcast clouds
8,Songjianghe,CN,42.1859,127.479,61.16,98,100,2.64,overcast clouds
9,Svetlaya,RU,46.5389,138.3297,59.86,91,76,7.76,broken clouds
10,Ahipara,NZ,-35.1667,173.1667,54.82,73,89,18.57,overcast clouds
11,Georgetown,MY,5.4112,100.3354,81.9,85,20,0.0,few clouds
12,Mnogovershinnyy,RU,53.9353,139.9242,51.75,93,94,3.98,overcast clouds
13,Saint George,US,37.1041,-113.5841,107.64,19,27,5.01,scattered clouds
14,Policoro,IT,40.2115,16.6726,79.99,50,0,6.22,clear sky
15,Antalaha,MG,-14.9003,50.2788,67.78,85,70,10.87,light rain
16,Torbay,CA,47.6666,-52.7314,70.57,77,88,5.01,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,69.55,97,88,5.01,overcast clouds
18,Novobirilyussy,RU,56.9514,90.6661,51.75,98,18,5.01,few clouds
19,Mount Gambier,AU,-37.8333,140.7667,38.97,85,0,5.84,clear sky
20,Yellowknife,CA,62.456,-114.3525,64.92,59,75,13.8,broken clouds
21,Benemerito De Las Americas,MX,16.5167,-90.6439,92.53,38,93,4.23,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,39.47,92,100,1.7,overcast clouds
23,Atuona,PF,-9.8,-139.0333,77.65,74,7,15.64,clear sky
24,Morondava,MG,-20.2833,44.2833,73.2,80,0,10.63,clear sky
25,Kismayo,SO,-0.3582,42.5454,75.22,78,88,16.28,overcast clouds
26,Cockburn Town,TC,21.4612,-71.1419,82.13,77,0,19.62,clear sky
27,New Norfolk,AU,-42.7826,147.0587,33.71,88,6,2.35,clear sky
28,Coahuayana,MX,18.7333,-103.6833,96.58,46,84,4.5,broken clouds
29,Oron,NG,4.8256,8.2343,74.66,89,100,6.69,light rain
30,Albany,US,42.6001,-73.9662,96.44,44,28,1.99,scattered clouds
31,Warrington,GB,53.3925,-2.5802,66.79,74,40,17.27,scattered clouds
32,Autun,FR,46.95,4.3,70.25,63,0,4.0,clear sky
33,Cabra,ES,37.4725,-4.4421,93.38,14,0,5.37,clear sky
34,Hermanus,ZA,-34.4187,19.2345,43.81,69,2,3.96,clear sky
35,Mar Del Plata,AR,-38.0023,-57.5575,64.94,50,0,15.99,clear sky
36,East London,ZA,-33.0153,27.9116,62.51,81,87,5.95,light rain
37,Peniche,PT,39.3558,-9.3811,75.07,78,0,16.84,clear sky
38,Bolivar,US,37.6145,-93.4105,102.94,35,0,11.81,clear sky
39,Luena,AO,-11.7833,19.9167,59.67,40,23,3.8,few clouds
40,Hobart,AU,-42.8794,147.3294,34.05,93,1,5.75,clear sky
41,Bubaque,GW,11.2833,-15.8333,76.37,92,100,16.82,moderate rain
42,Sorland,NO,67.667,12.6934,55.26,92,95,23.4,overcast clouds
43,Busselton,AU,-33.65,115.3333,56.77,95,100,11.68,light rain
44,Panaba,MX,21.2833,-88.2667,98.87,35,27,18.25,scattered clouds
45,Dauphin,CA,51.1494,-100.0502,75.33,57,0,17.29,clear sky
46,Dikson,RU,73.5069,80.5464,43.27,69,11,22.37,few clouds
47,Pingzhuang,CN,42.0372,119.2889,67.73,88,97,1.61,overcast clouds
48,Rikitea,PF,-23.1203,-134.9692,73.18,75,0,1.19,clear sky
49,Puerto Escondido,MX,15.85,-97.0667,88.0,65,100,6.51,overcast clouds
50,Estevan,CA,49.1334,-102.9842,73.74,49,0,19.44,clear sky
51,Doka,SD,13.5167,35.7667,68.59,93,100,10.36,overcast clouds
52,Pincher Creek,CA,49.4833,-113.952,77.88,34,0,20.18,clear sky
53,Poum,NC,-20.2333,164.0167,75.43,86,100,7.94,overcast clouds
54,Kaeo,NZ,-35.1,173.7833,50.47,84,21,10.38,few clouds
55,Ushuaia,AR,-54.8,-68.3,31.66,93,100,24.16,light snow
56,Saint Anthony,US,45.0205,-93.218,87.93,41,0,25.32,clear sky
57,Yumen,CN,40.2833,97.2,58.33,71,100,25.41,overcast clouds
58,Emba,KZ,48.8264,58.1442,72.48,38,100,8.61,overcast clouds
59,Mayo,US,38.8876,-76.5119,95.36,64,0,13.8,clear sky
60,Buraydah,SA,26.326,43.975,94.86,9,4,10.27,clear sky
61,Kamskoye Ustye,RU,55.2016,49.268,59.0,76,100,5.37,overcast clouds
